BrandNo,CampaignNo,CampStartDay,CampEndDay,CampBudget,AdGroupNo,AdExpense,AdStartDay,AdEndDay,E_impressions,impressions,E_clicks,clicks,E_views,views,ChannelGoodsNo,ChannelGoodsNm,ChannelNo,Level1Cd,Level2Cd,Level1CdNm,month,weeks,days,season,ratio,naver,facebook,instagram,gdn,kakao,youtube,etc,Target_purpose,Target_gender,Target_age_7_9,Target_age_10_14,Target_age_15_19,Target_age_20_24,Target_age_25_29,Target_age_30_34,Target_age_35_39,Target_age_40_44,Target_age_45_49,Target_age_50_54,Target_age_55_59,Target_age_60_64,Target_age_65_69,Target_age_70_74,Target_age_75_79,Ad_Material,AdvertiserNo,Advertiser_Naver_Yn,Advertiser_Facebook_Yn,Advertiser_Instragram_Yn,Advertiser_Google_Yn,Advertiser_Kakao_Yn,Advertiser_Youtube_Yn,Advertiser_Etc_Yn,Level1Cd_Naver_Ratio,Level1Cd_Facebook_Ratio,Level1Cd_Instagram_Ratio,Level1Cd_Google_Ratio,Level1Cd_Kakao_Ratio,Level1Cd_Youtube_Ratio,Level1Cd_Etc_Ratio
1225,476,2019-04-03,2019-04-30,30000000,,,,,,,,,,,,,,110000,115500,컴퓨터 및 정보통신,4,4,27,Spring,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,1,1,1,1,0,1,0.305555556,0.03968254,0.0,0.265873016,0.007936508,0.023809524,0.357142857
1226,477,2019-03-30,2019-04-30,30000000,,,,,,,,,,,,,,100000,101500,가정용 전기전자,3,4,31,Spring,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,1,1,1,1,0,1,0.644144144,0.002252252,0.002252252,0.006756757,0.02027027,0.027027027,0.297297297
1178,478,2019-04-15,2019-04-30,20000000,,,,,,,,,,,,,,100000,102500,가정용 전기전자,4,2,15,Spring,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,1,1,1,1,0,1,0.644144144,0.002252252,0.002252252,0.006756757,0.02027027,0.027027027,0.297297297
1080,480,2019-04-15,2019-04-25,300000,,,,,,,,,,,,,,50000,56500,화장품 및 보건용품,4,1,10,Spring,"""[0, 0, 1.0, 0, 0, 0, 0]""",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,460,1,1,1,0,1,1,1,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1162,482,2019-04-01,2019-04-30,7900000,,,,,,,,,,,,,,50000,50500,화장품 및 보건용품,4,4,29,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1092,483,2019-04-06,2019-05-05,9500000,,,,,,,,,,,,,,180000,182000,서비스,4,4,29,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.607988166,0.01183432,0.022189349,0.023668639,0.044378698,0.036982249,0.25295858
1096,484,2019-04-01,2019-04-30,13100000,,,,,,,,,,,,,,50000,54000,화장품 및 보건용품,4,4,29,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1164,485,2019-04-01,2019-04-30,8700000,,,,,,,,,,,,,,50000,50500,화장품 및 보건용품,4,4,29,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1091,486,2019-04-01,2019-04-30,11000000,,,,,,,,,,,,,,50000,51000,화장품 및 보건용품,4,4,29,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1099,487,2019-04-01,2019-04-30,11800000,,,,,,,,,,,,,,50000,50500,화장품 및 보건용품,4,4,29,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1228,488,2019-04-12,2019-05-11,48573656,,,,,,,,,,,,,,180000,189900,서비스,4,4,29,Spring,"""[0, 0.48, 0, 0.06, 0, 0, 0.45]""",0.0,0.48,0.0,0.06,0.0,0.0,0.45,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,1,1,1,1,0,1,0.607988166,0.01183432,0.022189349,0.023668639,0.044378698,0.036982249,0.25295858
1157,489,2019-03-10,2019-04-08,4500000,,,,,,,,,,,,,,20000,29900,식품,3,4,29,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.432960894,0.019553073,0.029329609,0.025139665,0.101955307,0.106145251,0.284916201
1101,490,2019-03-14,2019-04-12,1000000,,,,,,,,,,,,,,50000,54500,화장품 및 보건용품,3,4,29,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1093,491,2019-04-01,2019-04-30,1000000,,,,,,,,,,,,,,50000,50500,화장품 및 보건용품,4,4,29,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1097,492,2019-03-05,2019-04-03,1500000,,,,,,,,,,,,,,20000,25500,식품,3,4,29,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.432960894,0.019553073,0.029329609,0.025139665,0.101955307,0.106145251,0.284916201
1158,493,2019-03-15,2019-04-15,1500000,,,,,,,,,,,,,,50000,52000,화장품 및 보건용품,3,4,31,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1095,494,2019-03-23,2019-04-21,10000000,,,,,,,,,,,,,,50000,50500,화장품 및 보건용품,3,4,29,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1100,495,2019-03-18,2019-04-17,2000000,,,,,,,,,,,,,,50000,59900,화장품 및 보건용품,3,4,30,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1159,496,2019-03-28,2019-04-26,1500000,,,,,,,,,,,,,,50000,50500,화장품 및 보건용품,3,4,29,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1160,497,2019-03-08,2019-04-16,4000000,,,,,,,,,,,,,,50000,50500,화장품 및 보건용품,3,6,39,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1161,498,2019-03-26,2019-04-24,500000,,,,,,,,,,,,,,50000,50500,화장품 및 보건용품,3,4,29,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1229,499,2019-04-15,2019-04-21,5000000,797,5000000.0,2019-04-15,2019-04-21,2500000.0,2749335.0,1250.0,606.0,,,65.0,Naver_P_롤링보드,13.0,190000,190500,관공서 및 단체,4,1,6,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1162,1,1,0,0,0,0,0,0.236212279,0.100936524,0.033298647,0.037460978,0.139438085,0.211238293,0.241415193
1163,500,2019-03-23,2019-05-04,6066667,,,,,,,,,,,,,,50000,50500,화장품 및 보건용품,3,6,42,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
980,501,2019-04-08,2019-04-30,30000000,801,30000000.0,2019-04-08,2019-04-30,2708333.33333333,2906506.0,,,,,4.0,oksusu_프리롤,11.0,120000,124500,수송기기,4,3,22,Spring,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,0,0,0,0,0,0,1,0.581395349,0.023255814,0.0,0.01744186,0.046511628,0.034883721,0.296511628
1227,502,2019-04-02,2019-05-01,18181818,802,18181818.0,2019-04-02,2019-05-01,2000000.0,2100008.0,,,,,4.0,oksusu_프리롤,11.0,190000,190500,관공서 및 단체,4,4,29,Spring,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,1,1,1,1,1,1,1,0.236212279,0.100936524,0.033298647,0.037460978,0.139438085,0.211238293,0.241415193
1010,504,2019-04-19,2019-04-25,5000000,804,5000000.0,2019-04-19,2019-04-25,260416.666666666,274720.0,,,,,4.0,oksusu_프리롤,11.0,210000,210500,그룹 및 기업광고,4,1,6,Spring,"""[0, 0, 0, 0, 0, 0, 1.0]""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,1,0.31884058,0.043478261,0.043478261,0.007246377,0.050724638,0.043478261,0.492753623
1138,505,2019-04-30,2019-05-31,2450000,,,,,,,,,,,,,,20000,25500,식품,4,4,31,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,1,0,0,0,0,0,0,0.432960894,0.019553073,0.029329609,0.025139665,0.101955307,0.106145251,0.284916201
